daydate,count,tone
20170414,66,-0.0069447064087882482
20170415,15,-0.54893446486734354
20170416,90,-0.86575903665231968
20170417,313,-1.06610385451016
20170418,514,-0.60522521737341572
20170419,285,-0.63619700221275588
20170420,600,-1.3684576694248591
20170421,292,-1.1048146409151323
20170422,110,-0.783787799238707
20170423,94,-0.427837999290803
20170424,124,-0.60214501955561206
20170425,159,0.14547159291436473
20170426,247,-0.25269038697265328
20170427,272,0.13358863499448931
20170428,251,-0.378349509780172
20170429,74,-0.97207773796323016
20170430,76,-0.80180594470485489
20170501,244,-0.82706617008680683
20170502,216,-0.534160760216648
20170503,342,-0.66403699447488362
20170504,220,-0.47404219834456507
20170505,167,-0.93197939043172351
20170506,73,-1.2272410243263259
20170507,39,-1.384432744356848
20170508,195,-0.25854392456138148
20170509,250,-0.0021877171160632185
20170510,196,-0.0494283648133455
20170511,226,-0.97953864348361874
20170512,215,-0.85088424113166594
20170513,106,0.93026213675532732
20170514,49,-0.39692515759237856
20170515,254,0.1084960306292815
20170516,157,0.29683136479340083
20170517,142,0.37129243204873069
20170518,161,0.47118451634631109
20170519,187,0.3095767963461426
20170520,36,0.19895159695737077
20170521,27,-0.7232320751572302
20170522,56,0.22183938455065225
20170523,168,-0.69365231591748444
20170524,230,-0.029962317804945324
20170525,201,-0.24145016408492695
20170526,163,-1.3540500203560581
20170527,52,-1.6184844874303141
20170528,50,0.026846549928632966
20170529,119,-0.30808018208176691
20170530,157,0.55599847221287824
20170531,229,-1.0734399626350868
20170601,184,-1.2081348678215775
20170602,137,-0.66448904413371224
20170603,51,-0.87456965090227312
20170604,62,-0.2992668198708533
20170605,239,-1.1811605422608873
20170606,187,0.13811983249631168
20170607,187,-0.59869567313277239
20170608,248,-1.0979517499121962
20170609,173,-0.18159563955535976
20170610,351,-0.22213724662929105
20170611,65,-0.064253012581538385
20170612,138,0.00058055884118163315
20170613,303,-0.87708941980154753
20170614,205,-0.45990518729852686
20170615,295,-0.7957555411717272
20170616,169,-1.2999818121698279
20170617,80,-0.43905221006344808
20170618,71,-1.1597472268370932
20170619,124,0.045597270317976904
20170620,270,-1.2232761973534021
20170621,197,0.63474925619034128
20170622,302,0.43439238898640553
20170623,202,0.094226768556503929
20170624,60,0.69158486474722169
20170625,35,0.74582824922182411
20170626,93,0.34247696929226268
20170627,116,0.32508134659514276
20170628,176,-0.0675732593759471
20170629,134,0.30294675876290356
20170630,94,0.34671910676444451
20170701,45,0.6016534918151567
20170702,26,0.82392551723607788
20170703,68,-0.66010741936690454
20170704,119,0.33525484948386508
20170705,120,0.4561008040415121
20170706,265,-1.0803827475603218
20170707,144,-0.74706218090961818
20170708,43,-0.94690974688940277
20170709,32,-0.40807405051367246
20170710,101,-0.25717562453481413
20170711,147,-0.50337836708069672
20170712,229,-0.23062409470965847
20170713,332,-1.0585137721246687
20170714,136,-0.31655752507834728
20170715,35,0.1709812495434633
20170716,20,0.0051648832671869482
20170717,250,-0.80032758640831148
20170718,188,-0.30408264542728042
20170719,141,-0.71373514824859063
20170720,134,0.016179467997961858
20170721,90,0.41400361723341977
20170722,41,-0.18619085728532264
20170723,20,0.49568600294351955
20170724,68,0.56361713336050534
20170725,67,0.2677472850234407
20170726,150,-0.4060844888376175
20170727,176,0.3281434580610012
20170728,133,-0.14003292211220777
