Id,Address,Bedrooms,Bathrooms,Type,Price
C4360782,"88 Blue Jays Way 2910, Toronto",1,1,Condo Apt Bachelor/Studio,1900
C4389331,"1 Pemberton Ave 1806, Toronto",1,1,Condo Apt Apartment,1900
C4384876,"318 Richmond St W 2410, Toronto",1,1,Condo Apt Apartment,1900
C4397189,"365 Church St 2807, Toronto",1,1,Condo Apt Apartment,1900
C4347933,"36 Lisgar St W 506, Toronto",1,1,Condo Apt Apartment,1900
C4384360,"1 Scott St 2910, Toronto",1,1,Condo Apt Apartment,1900
C4377318,"69 Lynn Williams St 1505, Toronto",1,1,Condo Apt Apartment,1900
C4394371,"8 Eglinton Ave E 3509, Toronto",1,1,Condo Apt Apartment,1900
C4371522,"2756 Old Leslie St 915, Toronto",1,1,Condo Apt Apartment,1900
C4375156,"35 Hollywood Ave 222, Toronto",1,1,Condo Apt Apartment,1900
E4393939,"6 Rosebank Dr 8G, Toronto",2,1,Condo Apt Apartment,1900
W4393616,"840 Queen's Plate Dr 1111, Toronto",2,2,Condo Apt Apartment,1900
C4364272,"209 Fort York Blvd 867, Toronto",1,1,Condo Apt Apartment,1900
C4353919,"20 Olive Ave Lph03, Toronto",1,1,Condo Apt Apartment,1900
C4387195,"36 Blue Jays Way 533, Toronto",1,1,Condo Apt Apartment,1900
C4393073,"181 Dundas St E 4807, Toronto",1,1,Condo Apt Apartment,1900
C4389092,"125 Redpath Ave 1702, Toronto",1,1,Condo Apt Apartment,1900
C4396949,"125 Redpath Ave E 717, Toronto",1,1,Condo Apt Apartment,1900
C4350888,"111 Elizabeth St 1232, Toronto",1,1,Condo Apt Apartment,1900
C4378724,"111 Elizabeth St 1833, Toronto",1,1,Condo Apt Apartment,1900
C4386178,"308 Palmerston Ave 619, Toronto",1,1,Condo Apt Apartment,1900
C4398155,"88 Harbour St 3011, Toronto",1,1,Condo Apt Apartment,1900
C4391041,"88 Sheppard Ave E 503, Toronto",1,1,Condo Apt Apartment,1900
C4395670,"3 Pemberton Ave 2006, Toronto",1,1,Condo Apt Apartment,1900
C4391724,"125 Redpath Ave 1413, Toronto",1,1,Condo Apt Apartment,1900
E4392961,"1328 Birchmount Rd 109, Toronto",2,1,Condo Apt Apartment,1900
E4398195,"50 Town Centre Crt 1106, Toronto",1,1,Condo Apt Apartment,1900
C4379594,"8 Scollard St 907, Toronto",1,1,Condo Apt Apartment,1900
W4392528,"1420 Dupont St 2103, Toronto",2,1,Condo Apt Apartment,1900
C4392987,"318 Richmond St W 2405, Toronto",1,1,Condo Apt Bachelor/Studio,1900
C4386506,"21 Nelson St 518, Toronto",1,1,Condo Apt Bachelor/Studio,1900
